"","pid","hid","sex","mastat","age","qfachi","lknbrd","paygu","region","wave","N","pay_lag","paych"
"248",10161252,2014173,2,5,48,7,1,NA,1,2,2,624,NA
"249",10162747,1013599,1,2,29,3,1,1197.92150878906,1,1,2,NA,NA
"250",10162747,2014386,1,2,30,3,1,1563.20251464844,1,2,2,1197.92150878906,365.281005859375
"251",10162771,1013599,2,2,28,4,1,1401.07775878906,1,1,2,NA,NA
"252",10162771,2014386,2,2,29,4,1,1701.30871582031,1,2,2,1401.07775878906,300.23095703125
"253",10163492,1013653,2,6,39,7,2,NA,1,1,2,NA,NA
"254",10163492,2014521,2,6,39,7,1,NA,1,2,2,NA,NA
"255",10164243,1013718,2,1,61,7,1,NA,1,1,2,NA,NA
"256",10164243,2014599,2,1,62,7,1,NA,1,2,2,NA,NA
"257",10164278,1013718,1,1,60,4,1,NA,1,1,2,NA,NA
"258",10164278,2014599,1,1,61,4,1,NA,1,2,2,NA,NA
"259",10166858,1013939,1,6,27,5,1,2060.58520507812,1,1,2,NA,NA
"260",10166858,2014734,1,6,28,5,1,2284.75756835938,1,2,2,2060.58520507812,224.17236328125
"261",10170219,1014218,1,2,48,3,2,1701.30871582031,1,1,2,NA,NA
"262",10170219,2014807,1,1,48,3,1,1661.27795410156,1,2,2,1701.30871582031,-40.03076171875
"263",10170243,1014218,2,2,24,NA,NA,NA,1,1,2,NA,NA
"264",10170243,2014807,2,1,25,NA,1,NA,1,2,2,NA,NA
"265",10171339,1014307,1,1,58,NA,NA,NA,1,1,2,NA,NA
"266",10171339,2014947,1,1,59,NA,NA,NA,1,2,2,NA,NA
"267",10171363,1014307,2,1,61,5,1,325,1,1,2,NA,NA
"268",10171363,2014947,2,1,61,5,1,216.66667175293,1,2,2,325,-108.33332824707
"269",10171398,1014307,1,6,21,4,1,640.49267578125,1,1,2,NA,NA
"270",10171398,2015013,1,6,22,4,1,722.555847167969,1,2,2,640.49267578125,82.0631713867188
"271",10174699,1014587,1,1,53,5,1,1301.00073242188,1,1,2,NA,NA
"272",10174699,2015161,1,1,54,5,1,1300,1,2,2,1301.00073242188,-1.000732421875
"273",10174729,1014587,2,1,48,5,1,1501.15478515625,1,1,2,NA,NA
"274",10174729,2015161,2,1,49,5,1,1841.66662597656,1,2,2,1501.15478515625,340.511840820312
"275",10174753,1014587,1,6,17,5,1,NA,1,1,2,NA,NA
"276",10174753,2015161,1,6,18,5,1,NA,1,2,2,NA,NA
"277",10175806,1014676,1,1,53,5,2,NA,1,1,2,NA,NA
"278",10175806,2015374,1,1,54,5,2,805.83203125,1,2,2,NA,NA
"279",10175849,1014676,2,1,48,7,2,NA,1,1,2,NA,NA
"280",10175849,2015374,2,1,49,NA,NA,NA,1,2,2,NA,NA
"281",10179178,1014951,1,6,27,5,2,1187.33337402344,1,1,2,NA,NA
"282",10179178,2015811,1,6,28,5,2,1126.66662597656,1,2,2,1187.33337402344,-60.666748046875
"283",10182527,1015249,1,6,29,4,1,1950,1,1,2,NA,NA
"284",10182527,2015889,1,6,30,4,NA,NA,1,2,2,1950,NA
"285",10183647,1015338,2,4,64,7,2,NA,1,1,2,NA,NA
"286",10183647,2015951,2,4,65,7,2,NA,1,2,2,NA,NA
"287",10184767,1015427,2,6,63,5,1,NA,1,1,2,NA,NA
"288",10184767,2016028,2,6,64,5,1,NA,1,2,2,NA,NA
"289",10185887,1015516,1,1,57,2,1,4624.5576171875,1,1,2,NA,NA
"290",10185887,2016095,1,1,58,2,1,4173.21044921875,1,2,2,4624.5576171875,-451.34716796875
"291",10185917,1015516,2,1,47,5,1,2354.8115234375,1,1,2,NA,NA
"292",10185917,2016095,2,1,49,5,1,2706.02685546875,1,2,2,2354.8115234375,351.21533203125
"293",10187006,1015613,2,1,67,7,1,NA,1,1,2,NA,NA
"294",10187006,2016249,2,1,68,7,1,NA,1,2,2,NA,NA
"295",10187049,1015613,1,1,80,7,2,NA,1,1,2,NA,NA
"296",10187049,2016249,1,1,81,7,2,NA,1,2,2,NA,NA
"297",10187383,1015648,1,5,49,7,1,NA,1,1,2,NA,NA
"298",10187383,2016389,1,5,50,7,1,NA,1,2,2,NA,NA
"299",10187758,1015672,2,2,22,7,1,NA,1,1,2,NA,NA
"300",10187758,2016451,2,2,23,7,1,NA,1,2,2,NA,NA
"301",10187782,1015672,1,2,22,7,1,NA,1,1,2,NA,NA
"302",10187782,2016451,1,2,23,7,1,NA,1,2,2,NA,NA
"303",10188126,1015702,2,6,41,1,1,3002.3095703125,1,1,2,NA,NA
"304",10188126,2016737,2,6,42,1,1,4163.20263671875,1,2,2,3002.3095703125,1160.89306640625
"305",10188509,1015737,1,6,43,2,1,970.666687011719,1,1,2,NA,NA
"306",10188509,2016818,1,6,44,2,1,904.31689453125,1,2,2,970.666687011719,-66.3497924804688
"307",10192603,1016083,1,1,46,5,1,2602.00146484375,1,1,2,NA,NA
"308",10192603,2016958,1,1,47,5,1,3002.3095703125,1,2,2,2602.00146484375,400.30810546875
"309",10192638,1016083,2,1,43,NA,NA,NA,1,1,2,NA,NA
"310",10192638,2016958,2,1,44,NA,NA,NA,1,2,2,NA,NA
"311",10192662,1016083,2,6,18,4,1,541.666687011719,1,1,2,NA,NA
"312",10192662,2016958,2,6,19,4,1,541.666687011719,1,2,2,541.666687011719,0
"313",10192972,1016113,2,1,29,5,1,1130.86987304688,1,1,2,NA,NA
"314",10192972,2017237,2,1,30,5,1,1460.12316894531,2,2,2,1130.86987304688,329.253295898438
"315",10193006,1016113,1,1,29,2,1,4003.07934570312,1,1,2,NA,NA
"316",10193006,2017237,1,1,30,2,1,5254.04150390625,2,2,2,4003.07934570312,1250.96215820312
"317",10193723,1016172,1,2,36,4,1,3502.6943359375,1,1,2,NA,NA
"318",10193723,2017385,1,2,37,4,1,4803.6953125,1,2,2,3502.6943359375,1301.0009765625
"319",10193758,1016172,2,2,35,4,1,1262.97155761719,1,1,2,NA,NA
"320",10193758,2017385,2,2,36,4,1,1364.81774902344,1,2,2,1262.97155761719,101.84619140625
"321",10197087,1016458,2,6,43,2,1,1740.33874511719,1,1,2,NA,NA
